Fecha,IPC_0,IPC_1,IPC_2,CuasidinerosTotal,DepositosSistemaFinanciero,M2,M3,IPC_Y
2016-08-31,92.7271311477779,93.0247312206378,92.5435247138894,305753.46870136,383013.9410434,398609.38162496,431979.43322728,92.6781435130601
2016-09-30,92.6781435130601,92.7271311477779,93.0247312206378,304965.22723255,381021.31213231,394557.71768779,428750.46105547,92.6226281955719
2016-10-31,92.6226281955719,92.6781435130601,92.7271311477779,304452.93062348,382755.99927219,397059.48629914,430857.3305987,92.72630611345
2016-11-30,92.72630611345,92.6226281955719,92.6781435130601,311293.47475987,389793.27492414,406626.57655608,441322.65324923,93.1128528440435
2016-12-31,93.1128528440435,92.72630611345,92.6226281955719,306199.0109151,389713.53744925,408241.84379569,445140.07830921,94.0664354774366
2017-01-31,94.0664354774366,93.1128528440435,92.72630611345,309131.5381848,391257.76489066,404201.32644164,441885.5429533,95.0124971760723
2017-02-28,95.0124971760723,94.0664354774366,93.1128528440435,313561.83771923,397081.13643055,410070.2295488,445932.11248319,95.4550938910703
2017-03-31,95.4550938910703,95.0124971760723,94.0664354774366,315468.46396871,396941.98288474,408947.36607392,445723.51998769,95.9072873886188
2017-04-30,95.9072873886188,95.4550938910703,95.0124971760723,319214.68669969,402278.27686666,410771.05567344,450217.73738543,96.123383562661
2017-05-31,96.123383562661,95.9072873886188,95.4550938910703,319530.17940411,397017.1709297,410754.57997683,446001.70674544,96.2335800893279
2017-06-30,96.2335800893279,96.123383562661,95.9072873886188,322020.20817065,403301.55385982,415075.59971906,452546.81825436,96.1843551350912
2017-07-31,96.1843551350912,96.2335800893279,96.123383562661,323689.54015123,406136.95754847,418156.3357824,455912.03462553,96.3190674660724
2017-08-31,96.3190674660724,96.1843551350912,96.2335800893279,323071.33496162,402488.33358439,416699.18341735,453111.74461943,96.3578601334521
2017-09-30,96.3578601334521,96.3190674660724,96.1843551350912,321524.17954834,402203.73472089,414830.79164299,452180.29280736,96.3739706388012
2017-10-31,96.3739706388012,96.3578601334521,96.3190674660724,322798.07166016,405336.66256816,417643.26508996,455392.82732507,96.5482518115891
2017-11-30,96.5482518115891,96.3739706388012,96.3578601334521,330329.60526308,413130.09396219,428394.58643653,466984.12420124,96.9198851044073
2017-12-31,96.9198851044073,96.5482518115891,96.3739706388012,328584.23205154,418158.48605064,437122.97461385,477656.44609139,97.5276345666936
2018-01-31,97.5276345666936,96.9198851044073,96.5482518115891,328736.6747384,411626.14091794,428365.3218915,466995.99144701,98.2164314367227
2018-02-28,98.2164314367227,97.5276345666936,96.9198851044073,333580.02728198,417334.7784634,434322.71962531,472043.70971901,98.4522502587935
2018-03-31,98.4522502587935,98.2164314367227,97.5276345666936,335775.81464849,420323.4818587,435891.21000559,474374.41913723,98.9068958253724
2018-04-30,98.9068958253724,98.4522502587935,98.2164314367227,335268.8100845,419760.64488141,433478.14533773,471682.2813035,99.1577914168873
2018-05-31,99.1577914168873,98.9068958253724,98.4522502587935,335338.46247982,417568.71264828,432300.09589852,470495.9843459,99.3111507800769
