Fecha,Inflaciontotal,IPC_0,Promedio mensual TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,Promedio mensual ConsumoFinalReal,Promedio mensual PIB,IPP,Promedio mensual MetaInflacion,Promedio mensual TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,Promedio mensual ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,Promedio mensual TasaInteresCeroCuponTES,Promedio mensual TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,Promedio mensual TIB,IPC_1,IPC_2,IPC_Y
2009-09-30,3.208957,71.2762086079335,4.45,12.1559626741874,53.3125249995886,126057.427690165,605713.0,84.99,5.0,1978.033,32746.317074,125982.13962438,165891.21217432,43135.46405259,169117.60367697,187352.98954088,12457.2875344575,4193.96934026,143520.120385067,21.94,4.89,4.9087718389059445,2.049625365515479,11.49,4.333950191363637,71.3543921274806,71.3229417072205,71.1851937803914
2009-10-31,2.721595,71.1851937803914,4.0,11.5455065211423,56.5531567950591,126057.427690165,605713.0,84.12,5.0,1901.400322580645,33466.475257,128235.02695704,169209.21738289,43565.51185462,171800.53881166,190249.18178766,12160.311893706,4403.80394714,143834.272286793,21.06,4.41,4.665244633145074,1.561339534061263,11.09,3.976370527142857,71.2762086079335,71.3543921274806,71.1384502111257
2009-11-30,2.368519,71.1384502111257,3.8833333333333333,11.0783821431401,55.9246317527826,126057.427690165,605713.0,85.02,5.0,1976.8793333333333,34599.695934,128638.4796296,173713.8807457,46062.57882425,174701.05845385,195321.40468094,12741.515123789999,4377.743864,144540.452942291,20.81,4.4,4.107399285806875,1.5667559562174973,10.3,3.8290197963157895,71.1851937803914,71.2762086079335,71.1971176902255
2009-12-31,2.001808,71.1971176902255,3.5,11.3114866850842,55.5003114889614,127127.946409303,612616.0,86.34,5.0,2018.0125806451613,39544.748654,125059.63440649,171692.92945684,52756.33023674,177815.96464323,197481.90276177,12940.1821253425,4720.28613801,144935.327096643,20.43,4.12,3.946984615710199,1.4260271282998185,9.92,3.2935238415,71.1384502111257,71.1851937803914,71.6853802646735
2010-01-31,2.099625,71.6853802646735,3.5,14.6230779085162,53.0182229470343,127127.946409303,612616.0,88.13,3.0,1983.4267741935485,37705.545965,128328.6210262,175046.79796064,48348.00342652,176676.62445272,198440.76195611,13490.533676906,4631.29933286,145160.432094107,20.04,4.04,4.521936920594305,1.1794120735864286,9.91,3.3135606515789475,71.1971176902255,71.1384502111257,72.2792528170839
2010-02-28,2.090935,72.2792528170839,3.5,12.5946001540522,54.5851131330458,127127.946409303,612616.0,88.05,3.0,1951.7239285714284,36802.715946,130353.00627006,175784.71681194,47681.383582,178034.38985206,198416.52625657,13419.0965271925,4676.51644208,146123.665848878,19.77,4.0,4.414445970068753,1.105967337666426,9.94,3.354883752,71.6853802646735,71.1971176902255,72.46095580883
2010-03-31,1.839508,72.46095580883,3.5,11.8070467304142,54.2602260712253,129781.539915579,612616.0,88.28,3.0,1908.991935483871,36221.673162,129320.7023689,174369.04678053,47745.66451526,177066.36688416,197694.07439387,13126.2810724425,4717.58943942,146872.306483424,19.31,3.93,4.264917996558602,1.3587575341214442,9.82,3.374758149545454,72.2792528170839,71.6853802646735,72.7945760986885
2010-04-30,1.980841,72.7945760986885,3.5,12.2371286270183,55.4009241996912,129781.539915579,612616.0,88.94,3.0,1937.449,34784.259869,128582.25098499,175276.06408489,48071.50975547,176653.76074046,198045.59151284,13179.929534396,5174.0147024,147264.891623533,18.63,3.92,4.377683866140908,1.8841462881886155,9.86,3.4942907320000005,72.46095580883,72.2792528170839,72.8697575263198
2010-05-31,2.071797,72.8697575263198,3.032258064516129,12.0404335910972,54.8929007548477,129781.539915579,612616.0,89.96,3.0,1983.5932258064515,35610.144505,128693.57157062,176005.92429692,47510.29453717,176203.86610779,198704.15360554,13751.095121607501,4870.4776206,149892.941960553,18.3,3.63,3.988372438279908,2.3635815665627007,9.34,3.0214621415,72.7945760986885,72.46095580883,72.9526057704129
2010-06-30,2.245134,72.9526057704129,3.0,11.6356183368589,55.1525114915674,131144.413285881,612616.0,88.74,3.0,1926.846,38254.992409,130933.97521074,177603.9100816,50316.53663002,181250.51184076,202394.03251111,13151.565416305,5657.14288393,152033.209014302,18.2,3.54,4.052032591179406,2.380977952885427,9.26,3.028365795,72.8697575263198,72.7945760986885,72.9218617247213
