Fecha,Inflaciontotal,IPC,Promedio mensual TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,Promedio mensual ConsumoFinalReal,Promedio mensual PIB,IPP,Promedio mensual MetaInflacion,Promedio mensual TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,Promedio mensual ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,Promedio mensual TasaInteresCeroCuponTES,Promedio mensual TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,Promedio mensual TIB,IPC_1,IPC_2,IPC_Y
2019-04-30,3.24747,102.11886,4.25,10.3343428077985,55.7847794572863,185189.155385324,854008.0,118.03,3.0,3155.765,89808.352328,354803.00166104,448853.69341362,108820.77222983,463623.77389087,507576.31153485,31433.192541887503,18339.35466347,437911.0731571,17.85,4.54,4.584705146183465,1.6793009806178383,11.89,4.2557140115,101.61572,101.17675,102.43927
2019-05-31,3.30935,102.43927,4.25,10.5376432538346,56.4082388013268,185189.155385324,854008.0,119.91,3.0,3304.4945161290325,93088.427612,356837.72339329,446322.5145275,107530.57675152,464368.30014481,506184.25134364,32330.478825334,19623.63568999,444152.72935106,17.08,4.5,4.599886161660873,1.5511681602746492,12.26,4.261944615,102.11886,101.61572,102.71377
2019-06-30,3.42622,102.71377,4.25,9.43709347095469,57.502365627045,188349.002349413,854008.0,117.99,3.0,3260.517,95499.203339,359032.66380764,452232.91981182,110946.98413843,469979.64794607,513676.53840952,32734.979851645,18165.22511804,447198.83198625,16.9,4.52,4.39269981348228,1.53747967676836,11.47,4.264517533333334,102.43927,102.11886,102.93898
2019-07-31,3.78535,102.93898,4.25,10.7160765202848,56.2274513984853,188349.002349413,854008.0,118.68,3.0,3206.6003225806453,93592.408984,361764.88314894,453896.53020322,112086.80113445,473851.68428339,517206.25247292,31833.9552567825,19233.46908509,448977.70829598,16.66,4.47,4.339237357530617,1.3963868303719,12.28,4.260873896818182,102.71377,102.43927,103.02736
2019-08-31,3.75022,103.02736,4.25,10.7963281082675,56.1070602967198,188349.002349413,854008.0,118.91,3.0,3410.7290322580648,93374.453868,362581.92285893,457748.39886555,113852.65153352,476434.57439245,520341.86899213,31816.844084338,19344.82788199,452458.31491009,15.86,4.43,4.464112331779178,1.4830179446644942,11.64,4.2712147745,102.93898,102.71377,103.26274
2019-09-30,3.81597,103.26274,4.25,10.2237111384426,56.3356438857068,190037.811757751,854008.0,120.35,3.0,3399.4570000000003,94017.797922,362203.21425582,460814.91062908,114045.30796416,476248.52221998,523692.42028063,32584.8206580575,20004.36354718,457643.82204886,15.53,4.48,4.426515854204062,1.422798914588811,11.52,4.257932971428572,103.02736,102.93898,103.42652
2019-10-31,3.85561,103.42652,4.25,9.84162483290371,57.7539064665701,190037.811757751,854008.0,120.34,3.0,3433.311612903226,97984.076347,365656.38655929,459595.1090709,114869.03489106,480525.42145035,525468.64088596,32663.17905391,18062.07021627,460971.54601215,15.51,4.41,4.474272463383716,1.2613057724398515,11.54,4.2583516090909095,103.26274,103.02736,103.53506
2019-11-30,3.84291,103.53506,4.25,9.25094900998434,57.8477927848472,190037.811757751,854008.0,120.31,3.0,3401.473,100826.532348,372279.70916829,473584.98759966,120837.23646248,493116.94563077,540137.33051293,32326.073887574,18499.26209187,467275.34039617,15.43,4.43,4.60439548997421,1.334207479173939,11.24,4.25643046368421,103.42652,103.26274,103.8043
2019-12-31,3.8043,103.8043,4.25,9.53174880650129,57.4995892927981,191452.030507512,882029.0,120.79,3.0,3378.0506451612905,110139.009507,370958.89201229,468863.52033944,127881.57369874,498840.46571103,543914.8415981,34302.3423659675,16520.33947592,466307.42733311,15.54,4.52,4.558699655164082,1.1460687119301791,10.71,4.258636030526316,103.53506,103.42652,104.24251
2020-01-31,3.62228,104.24251,4.25,12.9879981543389,54.3706724439715,191452.030507512,882029.0,119.91,3.0,3311.1893548387097,103022.919737,372881.37786686,466906.4058072,119463.60479697,492344.98266383,536960.29913866,34034.817141332,17192.24702473,467022.31157008,16.0,4.54,4.480159282507542,0.9109757412220192,11.72,4.255946616190476,103.8043,103.53506,104.94058
2020-02-29,3.72005,104.94058,4.25,12.1552632018055,55.4755307491681,191452.030507512,882029.0,118.69,3.0,3411.0527586206895,101605.7738,377514.90452735,476089.83699269,120475.00469307,497989.90922042,544669.70236889,33378.654623885,18255.5130654,472422.35293895,15.63,4.46,4.369098535501432,0.8502878732994453,11.18,4.2565558674999995,104.24251,103.8043,105.53395
2020-03-31,3.85593,105.53395,4.217741935483871,12.6341056681643,51.7022872235407,191723.45453481,882029.0,116.16,3.0,3877.048387096774,106174.429018,389119.41010995,502396.40052241,137992.07591791,527111.48602786,573393.76012641,37475.66066286,23780.15542487,480684.73453035,15.83,4.5,4.7698951031472685,2.08607408108551,10.26,4.159294497619048,104.94058,104.24251,105.69958
2020-04-30,3.50642,105.69958,3.75,19.8111421208653,41.5703596167582,191723.45453481,882029.0,112.33,3.0,3977.3933333333334,115987.029353,399328.95091231,511382.14730214,140447.47399284,539776.42490515,587003.41883441,38040.4834093525,23740.30018706,486757.22683828,16.59,4.55,4.165980316711473,1.8321226061253921,9.32,3.675220048,105.53395,104.94058,105.36296
2020-05-31,2.85408,105.36296,3.2983870967741935,21.3784917915415,43.3808099067874,191723.45453481,882029.0,113.73,3.0,3858.191612903226,109503.908279,403447.72891661,511425.72360576,140321.07533103,543768.80424764,589884.80212958,34410.785343902,22332.76080014,488696.04349251,15.05,4.29,3.2771063872008743,1.8857379662070173,10.02,3.2288671063157897,105.69958,105.53395,104.9666
2020-06-30,2.19332,104.9666,2.75,19.8131768373933,46.0522138627812,166765.71083783,882029.0,115.73,3.0,3701.6043333333337,111142.441729,405849.3775668,515481.06070035,144845.76820395,550695.14577075,596319.03845651,29929.50080397,21902.18250924,488587.17593363,15.0,3.76,2.8692640332549484,2.1188468888073486,10.03,2.752203752105263,105.36296,105.69958,104.96809
2020-07-31,1.97118,104.96809,2.5,20.2235286868572,45.098526066259,166765.71083783,882029.0,117.49,3.0,3657.8667741935483,112063.685124,410751.4690764,514854.42211074,142363.29384448,553114.76292088,597630.22978971,29611.993853138003,20656.17362966,486209.75465892,14.95,3.34,2.4135005066311828,1.4556731114834323,9.96,2.489883144090909,104.9666,105.36296,104.96232
2020-08-31,1.8781,104.96232,2.2661290322580645,16.75725761208,49.3440046062558,166765.71083783,882029.0,119.31,3.0,3783.025806451613,112117.867465,406693.48552032,514039.36507442,144405.18844855,551098.67396887,597058.23398975,29169.0996246225,20125.48026783,484338.96324525,15.13,2.79,2.405492644189803,1.1186549639775651,9.51,2.2242900994736843,104.96809,104.9666,105.29436
2020-09-30,1.96742,105.29436,1.975,15.7710538674914,50.6310960429763,176248.394120473,882029.0,118.78,3.0,3750.2153333333335,112995.901373,405392.25653742,511465.43914065,144404.09504819,549796.35158561,596945.90981412,28949.3930623725,19552.0372807,484593.09055093,14.48,2.39,2.194089261789655,0.6823652596842825,9.19,1.9640426836363636,104.96232,104.96809,105.23455
2020-10-31,1.74814,105.23455,1.75,14.6507309342331,53.1852823609757,176248.394120473,882029.0,119.52,3.0,3833.7883870967744,115279.146985,406778.71812688,515885.53583043,146843.98047444,553622.69860132,600731.04478402,29181.812541478,18701.37365926,486533.68500923,14.25,2.03,2.133357676687675,0.25819972061269386,9.46,1.7515506876190476,105.29436,104.96232,105.07719
2020-11-30,1.48947,105.07719,1.75,13.3111917867181,53.225283173092,176248.394120473,882029.0,119.54,3.0,3685.6266666666666,117606.969073,406753.99046861,518169.66057381,149347.71208365,556101.70255226,605540.33807171,29085.9454776125,16819.37255704,488900.28303625,14.25,1.96,2.1364631605678164,0.3115272045458847,9.15,1.7519585673684208,105.23455,105.29436,105.47602
